,data,PICP_good,PICP_bad,PICP_mean,PICP_std,MPIW_good,MPIW_bad,MPIW_mean,MPIW_std,RMSE_good,RMSE_bad,RMSE_mean,RMSE_std,MPIW_4GoodPICP
0,boston,0.941,0.51,0.827102880658436,0.06822018399318644,0.621,8.344,1.0078641975308638,0.5204617169752773,2.2230000000000003,43.203,3.207884773662549,2.618315099806484,1.366666666666667
1,concrete,0.9420000000000001,0.495,0.829555555555555,0.05368964995598962,0.531,24.23,0.851473251028807,1.50889021471632,4.25,222.09900000000002,6.217543209876546,13.914012471869505,0.9159999999999999
2,energy,0.935,0.662,0.8232962962962959,0.05370883650254676,0.33899999999999997,0.737,0.5356872427983541,0.08387417353000642,1.974,4.12,2.850580246913582,0.4324114068016362,0.499
3,kin8nm,0.9129999999999999,0.816,0.8702139917695474,0.020852182677832162,0.723,1.033,0.8819300411522636,0.06345623241765086,0.07200000000000001,0.08900000000000001,0.08010699588477367,0.003449289127262899,0.975
4,naval,0.95,0.9109999999999999,0.9451646090534969,0.011920087850822362,0.28,1.114,0.7273744855967077,0.2047173915931555,0.001,0.004,0.003020576131687245,0.0008153920097171626,0.8696428571428572
5,power,0.95,0.9009999999999999,0.9373168724279842,0.013860372316658216,0.706,0.851,0.7897242798353914,0.0402364153323504,3.898,4.212,4.035798353909468,0.07600144407451363,0.8304
6,protein,0.937,0.8809999999999999,0.9145390946502053,0.016522258790510183,1.775,2.154,1.9908148148148128,0.10699522401225445,4.566,4.96,4.7679135802469155,0.07489991076761464,2.114
7,wine,0.912,0.6809999999999999,0.8218230452674896,0.043065843829392304,1.236,2.048,1.6080864197530873,0.17374415009101132,0.518,0.672,0.6070823045267493,0.037345292660834924,1.768
8,yacht,0.935,0.516,0.878037037037038,0.07855504641208236,0.073,0.619,0.20103703703703704,0.1101037952571461,0.304,4.878,1.3178395061728394,0.9020022922877285,0.20804255319148934
